loggingTime,loggingSample,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ
1654828991.159419,136,639282.7814495417,-0.0215911865234375,-0.1826934814453125,-1.106460571289062,639282.7489495417,-0.5522381663322449,-0.6593499183654785,0.1357735395431519
1654828991.197886,137,639282.8151985417,-0.0814971923828125,-0.1512603759765625,-1.052444458007812,639282.7826995417,-0.314929723739624,-0.3709908425807953,0.1700625419616699
1654828991.2252,138,639282.8489485417,-0.0892791748046875,-0.1927947998046875,-1.0408935546875,639282.8164485417,-0.1350960284471512,-0.2255670726299286,0.1212654411792755
1654828991.259911,139,639282.8826985417,-0.062164306640625,-0.2583160400390625,-0.9764556884765625,639282.8501985417,-0.06313742697238922,-0.2215148061513901,-0.0281557384878397
1654828991.289992,140,639282.9164475417,-0.0404815673828125,-0.23297119140625,-0.9050140380859375,639282.8839485417,-0.03154008463025093,-0.1463963538408279,-0.1721730977296829
1654828991.325103,141,639282.9501975417,-0.039520263671875,-0.1853790283203125,-0.92388916015625,639282.9176975416,-0.09991754591464996,-0.1465343087911606,-0.1124138906598091
1654828991.359995,142,639282.9839475417,-0.0573272705078125,-0.1898193359375,-0.9858856201171875,639282.9514475417,-0.223233088850975,-0.3154783248901367,-0.01016635075211525
1654828991.396819,143,639283.0176965417,-0.0789794921875,-0.196441650390625,-1.004913330078125,639283.0189465417,-0.3487193584442139,-0.6025716066360474,-0.05591093748807907
1654828991.424854,144,639283.0514465417,-0.0771636962890625,-0.1851043701171875,-0.9960479736328125,639283.0189465417,-0.3487193584442139,-0.6025716066360474,-0.05591093748807907
1654828991.459805,145,639283.0851965417,-0.1028900146484375,-0.1337738037109375,-1.03271484375,639283.0526965417,-0.3344117999076843,-0.5868035554885864,-0.0931701585650444
1654828991.494771,146,639283.1189455417,-0.119049072265625,-0.102264404296875,-1.09149169921875,639283.0864465417,-0.259156733751297,-0.5014484524726868,-0.04851879924535751
1654828991.530011,147,639283.1526955417,-0.1216278076171875,-0.13763427734375,-1.05853271484375,639283.1201955416,-0.03292838856577873,-0.213857963681221,0.0182876605540514
1654828991.559803,148,639283.1864455417,-0.1352996826171875,-0.161224365234375,-1.020309448242188,639283.1539455417,0.1653207838535309,-0.004265851341187954,-0.01796275563538074
1654828991.598301,149,639283.2201945417,-0.139251708984375,-0.183013916015625,-1.0155029296875,639283.2214445417,0.2733676135540009,0.04666124656796455,-0.07118203490972519
1654828991.638203,150,639283.2539445417,-0.1187591552734375,-0.206268310546875,-0.94683837890625,639283.2214445417,0.2733676135540009,0.04666124656796455,-0.07118203490972519
1654828991.664973,151,639283.2876945417,-0.1165771484375,-0.237152099609375,-0.90655517578125,639283.2551945416,0.2748129367828369,0.05125067010521889,-0.1222603991627693
1654828991.694953,152,639283.3214445417,-0.0950927734375,-0.2428131103515625,-0.9385223388671875,639283.2889445417,0.1859269887208939,0.02434235811233521,-0.1036851182579994
1654828991.730011,153,639283.3551935417,-0.082611083984375,-0.2386474609375,-0.9382171630859375,639283.3226935418,0.1454397588968277,0.06703682243824005,-0.05991180241107941
1654828991.764982,154,639283.3889435417,-0.113494873046875,-0.238189697265625,-0.903076171875,639283.3564435417,0.1362901926040649,0.05900765955448151,-0.01300048734992743
1654828991.800227,155,639283.4226925417,-0.1199951171875,-0.2396697998046875,-0.962677001953125,639283.4239425417,0.1996928751468658,0.5342798829078674,0.06119784340262413
1654828991.838544,156,639283.4564425417,-0.072662353515625,-0.25390625,-0.9787750244140625,639283.4239425417,0.1996928751468658,0.5342798829078674,0.06119784340262413
1654828991.865064,157,639283.4901925417,-0.04913330078125,-0.2623138427734375,-0.9480743408203125,639283.4576925416,0.4071419239044189,0.8780074715614319,0.03320375829935074
